Country - (Currency) Area,First 60 Days US$,First 60 Days Local,>60 Days Local,Room as % of DSA,Effective Date d/mm/y,Survey Date d/mm/y,Notes
Sharm El Sheikh,207,"3,700","2,770",51,01/08/18,01/08/18,
Elsewhere,162,"2,900","2,180",49,01/08/18,01/08/18,
El Salvador (US Dollar),,,,,,,
San Salvador,219,219,164,59,01/06/18,01/06/18,
Elsewhere,132,132,99,52,01/06/18,01/06/18,
Equatorial Guinea (CFA Franc(XAF)),,,,,,,
Malabo,236,"132,000","99,000",67,01/08/18,01/08/17,
Malabo (Hilton),530,"295,000","221,000",73,01/08/18,01/08/17,1
"Malabo (Sofitel President, Tres de Agosto)",352,"197,000","148,000",64,01/08/18,01/08/17,1
Malabo (Sofitel Sipopo),478,"268,000","201,000",68,01/08/18,01/08/17,1
Bata,225,"126,000","94,500",59,01/08/18,01/08/17,
Mongomo,280,"157,000","118,000",64,01/08/18,01/08/17,
Elsewhere,111,"62,200","46,700",54,01/08/18,01/08/17,
Eritrea (Nafka),,,,,,,
Asmara,215,"3,230","2,420",32,01/10/17,01/10/17,
Assab,130,"1,950","1,460",17,01/10/17,01/10/17,
Keren,165,"2,480","1,860",25,01/10/17,01/10/17,
Massawa,219,"3,280","2,460",29,01/10/17,01/10/17,
Tessenei,125,"1,870","1,400",36,01/10/17,01/10/17,
Elsewhere,93,"1,390","1,390",28,01/10/17,01/10/17,
Estonia (Euro),,,,,,,
Tallinn,307,262,197,49,01/08/18,01/02/18,
Elsewhere,265,226,170,47,01/08/18,01/02/18,
Ethiopia (Ethiopian Birr),,,,,,,
Addis Ababa,198,"5,450","4,100",56,01/08/18,01/07/17,
Addis Ababa (Hilton),386,"10,600","7,980",64,01/08/18,01/07/17,1
"Addis Ababa (Marriott Executive Apartments, Radisson Blu)",297,"8,170","6,140",56,01/08/18,01/07/17,1
Addis Ababa (Sheraton),499,"13,700","10,300",65,01/08/18,01/07/17,1
Awassa (Haile Resort),231,"6,360","4,760",74,01/08/18,01/12/14,1
Bahir Dar & Debrezeit (Kuriftu),214,"5,890","4,430",74,01/08/18,01/12/14,1
Mekele (Planet),221,"6,080","4,570",78,01/08/18,01/12/14,1
Elsewhere,83,"2,280","1,710",60,01/08/18,01/12/14,
Elsewhere (Resident),50,"1,380","1,050",52,01/08/18,01/12/12,
Fiji (Fiji Dollar),,,,,,,
Suva,248,510,383,58,01/07/18,01/02/18,
Suva (Grand Pacific Hotel),495,"1,020",770,69,01/07/18,01/02/18,1
Coral Coast,301,620,465,59,01/07/18,01/02/18,
Denarau (Hilton),560,"1,150",860,69,01/07/18,01/02/18,1
"Denarau (Radisson, Sheraton, Sofitel, Westin)",408,840,630,57,01/07/18,01/02/18,1
Nadi,178,366,275,53,01/07/18,01/02/18,
Pacific Harbour,226,466,350,62,01/07/18,01/02/18,
Elsewhere,143,295,221,57,01/07/18,01/02/18,
Finland (Euro),,,,,,,
Helsinki,335,286,215,62,01/08/18,01/07/18,
Elsewhere,268,229,172,56,01/08/18,01/07/18,
France (Euro),,,,,,,
Paris,383,327,245,52,01/08/18,01/06/17,
Elsewhere,327,279,209,53,01/08/18,01/12/17,
Gabon (CFA Franc(XAF)),,,,,,,
Libreville,348,"195,000","146,000",53,01/08/18,01/05/17,
"Libreville (Le Cristal, Royal Palm)",570,"319,000","239,000",61,01/08/18,01/05/17,1
Libreville (Park Inn by Radisson),459,"257,000","193,000",59,01/08/18,01/05/17,1
Libreville (Radisson Blu Okoume Palace),680,"379,000","284,000",68,01/08/18,01/05/17,1
Francesville,151,"84,500","63,400",50,01/08/18,01/05/17,
Lambarene,173,"96,900","72,700",50,01/08/18,01/05/17,
Oyem,155,"86,800","65,100",60,01/08/18,01/05/17,
Port Gentil,350,"196,000","147,000",64,01/08/18,01/05/17,
Elsewhere,120,"67,100","50,300",47,01/08/18,01/08/15,
Gambia (Gambian Dalasi),,,,,,,
Banjul,194,"9,360","7,050",65,01/08/18,01/07/17,
Banjul (Kairaba Beach),242,"11,700","8,780",67,01/08/18,01/07/17,1
Tendaba,66,"3,190","2,410",54,01/08/18,01/07/17,
Elsewhere,42,"2,030","1,540",40,01/08/18,01/07/17,
"Georgia, Republic of (Georgian Lari)",,,,,,,
Tbilisi,181,443,333,56,01/08/18,01/08/17,
Tbilisi (Radisson),296,720,540,68,01/08/18,01/08/17,1
Tbilisi (Tbilisi Marriott),236,580,433,72,01/08/18,01/08/17,1
Batumi,185,453,340,61,01/08/18,01/08/17,
"Batumi (Radisson Blu, Sheraton) July-August",210,510,387,67,01/08/18,01/08/17,1
Kobuleti (Georgia Palace) Jun-Sep,213,520,392,66,01/08/18,01/08/17,1
Elsewhere,142,348,262,63,01/08/18,01/08/17,
Germany (Euro),,,,,,,
Berlin,330,282,212,51,01/08/18,01/12/17,
Bonn,280,239,179,52,01/08/18,01/12/17,
Hamburg,311,266,200,57,01/08/18,01/12/17,
Munich,304,260,195,61,01/08/18,01/12/17,
Elsewhere,267,228,171,55,01/08/18,01/12/17,
Ghana (New Cedi),,,,,,,
Accra,398,"1,910","1,440",60,01/08/18,01/01/17,
Accra (Best  Western Premier),475,"2,280","1,710",66,01/08/18,01/01/17,1
Aburi (Peduase Valley Resort),403,"1,940","1,450",55,01/08/18,01/01/17,1
Akosombo,357,"1,720","1,290",50,01/08/18,01/01/17,
Elmina,388,"1,870","1,400",76,01/08/18,01/01/17,
Ho (Volta Serene),309,"1,490","1,120",58,01/08/18,01/01/17,1
Kumasi (Golden Tulip),360,"1,730","1,300",64,01/08/18,01/01/17,1
Takoradi,282,"1,360","1,020",59,01/08/18,01/01/17,
"Takoradi (Planters Lodge, Protea)",294,"1,410","1,060",51,01/08/18,01/01/17,1
Tamale,311,"1,500","1,120",66,01/08/18,01/01/17,
Elsewhere,260,"1,250",940,58,01/08/18,01/01/17,
Gibraltar (Gibraltar Pound),,,,,,,
All Areas,357,216,162,72,01/12/17,01/12/17,
Greece (Euro),,,,,,,
Athens,296,253,190,57,01/08/18,01/11/17,
Thessaloniki,164,140,105,56,01/08/18,01/11/17,
Elsewhere,156,133,100,54,01/08/18,01/11/17,
Grenada (E.C. Dollar),,,,,,,
All Areas (15 Dec.-15 Apr.),344,930,700,61,01/10/17,01/10/17,
All Areas (16 Apr.-14 Dec.),322,870,650,60,01/10/17,01/10/17,
Guam (US Dollar),,,,,,,
All Areas,307,307,230,61,01/12/17,01/12/17,
Guatemala (Quetzal(es)),,,,,,,
Guatemala City,197,"1,470","1,110",53,01/08/18,01/05/18,
"Guatemala City (Real Intercontinental, Westin Camino Real, Courtyard Marriott)",277,"2,070","1,560",58,01/08/18,01/05/18,1
Antigua,255,"1,910","1,430",56,01/08/18,01/05/18,
Antigua (Finca Filadelfia),261,"1,950","1,470",75,01/08/18,01/05/18,1
Antigua (La Reunion),406,"3,040","2,280",61,01/08/18,01/05/18,1
Izabal,143,"1,070",800,54,01/08/18,01/05/18,
Peten,138,"1,030",780,54,01/08/18,01/05/18,
Elsewhere,97,730,550,56,01/08/18,01/05/18,
Guinea (Guinean Franc),,,,,,,
Conakry,240,"2,183,000","1,637,000",53,01/08/18,01/08/17,
Conakry (Noom),384,"3,492,000","2,619,000",62,01/08/18,01/08/17,1
Conakry (Palm Camayenne),415,"3,774,000","2,829,000",65,01/08/18,01/08/17,1
Conakry (Sheraton Grand),452,"4,111,000","3,083,000",66,01/08/18,01/08/17,1
Elsewhere,116,"1,055,000","791,000",47,01/08/18,01/08/17,
Guinea Bissau (CFA Franc(XOF)),,,,,,,
Bissau,167,"93,800","70,400",64,01/08/18,01/05/17,
Bissau (Ledger Plaza),284,"159,000","119,000",67,01/08/18,01/05/17,1
Bafata,110,"61,500","46,100",73,01/08/18,01/05/17,
Quinhamel,120,"67,300","50,500",52,01/08/18,01/05/17,
Elsewhere,75,"42,300","31,700",55,01/08/18,01/05/17,
Guyana (Guyana Dollar),,,,,,,
Georgetown,265,"55,400","41,600",63,01/08/18,01/06/17,
Georgetown (Pegasus Hotel),358,"74,900","56,300",68,01/08/18,01/06/17,1
Linden,138,"28,800","21,600",63,01/08/18,01/06/17,
New Amsterdam,134,"28,000","21,000",57,01/08/18,01/06/17,
Elsewhere,129,"27,000","20,300",46,01/08/18,01/06/17,
Haiti (Gourde),,,,,,,
Port-Au-Prince,221,"14,800","11,100",62,01/08/18,01/09/17,
Port-au-Prince (Karibe),265,"17,800","13,300",66,01/08/18,01/09/17,1
Port-au-Prince (Marriott),298,"20,000","15,000",70,01/08/18,01/09/17,1
Cap Haitien and Jacmel,181,"12,100","9,110",67,01/08/18,01/09/17,
Cote des Arcadins,210,"14,100","10,600",63,01/08/18,01/09/17,
Jeremie and Les Cayes,175,"11,700","8,780",58,01/08/18,01/09/17,
Port-de-Paix,140,"9,380","7,030",67,01/08/18,01/09/17,
Elsewhere,128,"8,570","6,430",69,01/08/18,01/09/17,
Honduras (Lempira),,,,,,,
Tegucigalpa,206,"4,930","3,710",63,01/08/18,01/05/18,
Copán,157,"3,760","2,820",75,01/08/18,01/05/18,
La Ceiba,156,"3,730","2,800",49,01/08/18,01/05/18,
Roatan,227,"5,430","4,070",64,01/08/18,01/05/18,
Roatan (Infinity Bay & Mayan Princess),379,"9,070","6,800",62,01/08/18,01/05/18,1
San Pedro Sula,189,"4,520","3,400",62,01/08/18,01/05/18,
Elsewhere,102,"2,440","1,840",62,01/08/18,01/05/18,
Hungary (Forint),,,,,,,
Budapest,277,"76,200","57,200",62,01/08/18,01/06/18,
Balaton,208,"57,200","42,900",68,01/08/18,01/06/18,
Visegrad,171,"47,100","35,200",65,01/08/18,01/06/18,
Elsewhere,143,"39,300","29,400",69,01/08/18,01/06/18,
Iceland (Iceland Krona),,,,,,,
All Areas (May - Sept),425,"44,600","33,500",63,01/08/18,01/08/16,
All Areas (Oct.- Apr.),333,"34,900","26,200",56,01/08/18,01/08/16,
India (Indian Rupee),,,,,,,
New Delhi (April - August),211,"14,500","10,900",51,01/08/18,01/11/17,
New Delhi (September - March),240,"16,500","12,400",56,01/08/18,01/11/17,
New Delhi Special Hotels (April - August),250,"17,200","12,900",59,01/08/18,01/11/17,"1,12"
"New Delhi Special Hotels (September
- March)",296,"20,300","15,200",64,01/08/18,01/11/17,"1,12"
Agra,284,"19,500","14,600",71,01/08/18,01/11/17,
Bangalore,202,"13,900","10,400",66,01/08/18,01/11/17,
Bangalore (Special Hotels),258,"17,700","13,300",65,01/08/18,01/11/17,"1,19"
Calcutta,304,"20,900","15,700",66,01/08/18,01/11/17,
Chandigarh (The Lalit),303,"20,800","15,600",71,01/08/18,01/11/17,1
Chennai,188,"12,900","9,680",62,01/08/18,01/11/17,
Goa,191,"13,100","9,830",63,01/08/18,01/11/17,
Hyderabad,182,"12,500","9,380",57,01/08/18,01/11/17,
Hyderabad (ITC Kakatiya),224,"15,400","11,600",61,01/08/18,01/11/17,1
Jaipur,306,"21,000","15,800",68,01/08/18,01/11/17,
Mumbai,268,"18,400","13,800",58,01/08/18,01/11/17,
Mumbai (Special hotels),313,"21,500","16,100",63,01/08/18,01/11/17,"1,20"
Srinagar,331,"22,700","17,000",67,01/08/18,01/11/17,
Elsewhere,175,"12,000","9,000",61,01/08/18,01/11/17,
Indonesia (Rupiah),,,,,,,
Jakarta,207,"2,984,000","2,234,000",59,01/08/18,01/09/17,
"Jakarta (JW Marriott, Mandarin Oriental, Ritz Carlton)",313,"4,512,000","3,388,000",67,01/08/18,01/09/17,1
Jakarta (Shangri-la),417,"6,011,000","4,512,000",70,01/08/18,01/09/17,1
Jakarta (Westin),276,"3,979,000","2,984,000",65,01/08/18,01/09/17,1
Ambon,120,"1,730,000","1,297,000",50,01/08/18,01/09/17,
Balik Papan,110,"1,586,000","1,196,000",53,01/08/18,01/09/17,
Bandung,141,"2,033,000","1,528,000",54,01/08/18,01/09/17,
Bogor City,133,"1,917,000","1,442,000",65,01/08/18,01/09/17,
Denpasar,217,"3,128,000","2,350,000",65,01/08/18,01/09/17,
Jayapura,121,"1,744,000","1,312,000",65,01/08/18,01/09/17,
Makassar,130,"1,874,000","1,413,000",49,01/08/18,01/09/17,
Medan,132,"1,903,000","1,427,000",59,01/08/18,01/09/17,
Menado,105,"1,514,000","1,139,000",56,01/08/18,01/09/17,
"Nusa Dua (Ayodya, Westin)",474,"6,833,000","5,132,000",64,01/08/18,01/11/17,1
"Nusa Dua (Courtyard by Marriott, Intercontinental, Novotel)",271,"3,906,000","2,926,000",58,01/08/18,01/11/17,1
"Nusa Dua (Grand Hyatt, Laguna Bali)",424,"6,112,000","4,584,000",59,01/08/18,01/11/17,1
Nusa Dua (Melia Bali),374,"5,391,000","4,051,000",60,01/08/18,01/11/17,1
Senggigi,169,"2,436,000","1,831,000",63,01/08/18,01/09/17,
Surabaya,115,"1,658,000","1,240,000",57,01/08/18,01/09/17,
Surabaya (Shangri-la),306,"4,411,000","3,315,000",58,01/08/18,01/09/17,1
Yogyakarta,121,"1,744,000","1,312,000",57,01/08/18,01/09/17,
Elsewhere,102,"1,470,000","1,110,000",56,01/08/18,01/09/17,
Iran (Iranian Rial),,,,,,,
Tehran,246,"10,791,000","8,093,000",70,01/08/18,01/08/18,
Kerman (Pars),186,"8,170,000","6,128,000",71,01/08/18,01/08/18,1
Mashad,146,"6,391,000","4,793,000",64,01/08/18,01/08/18,
Elsewhere,136,"5,988,000","4,491,000",67,01/08/18,01/08/18,
Iraq (Iraqi Dinar),,,,,,,
Baghdad,275,"322,000","241,000",64,01/12/16,01/12/16,
Baghdad (Al Rasheed Hotel),446,"522,000","391,000",64,01/12/16,01/12/16,1
Basra,212,"248,000","186,000",67,01/12/16,01/12/16,
Basra (Basra International Hotel),335,"392,000","294,000",63,01/12/16,01/12/16,1
Erbil (Divan and Rotana),401,"469,000","352,000",59,01/12/16,01/12/16,1
Suleimaniyah,142,"166,000","125,000",60,01/12/16,01/12/16,
Elsewhere,195,"228,000","171,000",61,01/06/17,01/12/16,
Ireland (Euro),,,,,,,
All Areas,308,263,197,60,01/08/18,01/06/18,
Israel (Shekel),,,,,,,
Tel Aviv,382,"1,400","1,050",64,01/08/18,01/12/16,
Eilat,301,"1,100",830,69,01/08/18,01/12/16,
Haifa,316,"1,160",870,62,01/08/18,01/12/16,
Herzliya,253,930,700,67,01/08/18,01/12/16,
Jerusalem,282,"1,030",780,60,01/08/18,01/12/16,
Tiberias,263,960,720,74,01/08/18,01/12/16,
Elsewhere,264,970,730,61,01/08/18,01/12/16,
Italy (Euro),,,,,,,
Rome,324,277,208,49,01/08/18,01/10/17,
Bologna,275,235,176,50,01/08/18,01/10/17,
Florence,265,226,170,58,01/08/18,01/10/17,
Milan,317,271,203,49,01/08/18,01/10/17,
Naples,301,257,193,64,01/08/18,01/10/17,
Palermo,314,268,201,53,01/08/18,01/10/17,
Trieste,259,221,166,38,01/08/18,01/10/17,
Turin,274,234,176,53,01/08/18,01/10/17,
Venice,359,307,230,58,01/08/18,01/10/17,
Elsewhere,170,145,109,43,01/08/18,01/02/17,
Jamaica (Jamaican Dollar),,,,,,,
Kingston,312,"41,600","31,200",64,01/08/18,01/05/18,
Elsewhere (15 Dec. -15 Apr.),325,"43,300","32,500",70,01/08/18,01/05/18,7
Elsewhere (16 Apr. -14 Dec.),308,"41,100","30,800",70,01/08/18,01/05/18,7
Japan (Yen),,,,,,,
Tokyo,317,"35,200","26,400",58,01/08/18,01/02/18,
Tokyo (Imperial),550,"61,300","46,000",72,01/08/18,01/02/18,1
"Tokyo (New Otani, Okura)",476,"52,800","39,600",63,01/08/18,01/02/18,1
Tokyo (Palace),680,"75,100","56,300",67,01/08/18,01/02/18,1
Fukuoka,255,"28,300","21,200",57,01/08/18,01/02/18,
Kobe,223,"24,700","18,500",59,01/08/18,01/02/18,
Kyoto,285,"31,600","23,700",59,01/08/18,01/02/18,
Nagoya,259,"28,800","21,600",58,01/08/18,01/02/18,
Osaka,256,"28,400","21,300",59,01/08/18,01/02/18,
Yokohama,290,"32,200","24,200",51,01/08/18,01/02/18,
Elsewhere,205,"22,800","17,100",57,01/08/18,01/02/18,
Jordan (Jordanian Dinar),,,,,,,
Amman,253,179,134,57,01/08/18,01/08/18,
"Amman (Fairmont, Sheraton, W Amman)",339,240,180,58,01/08/18,01/08/18,1
Amman (Four Seasons),407,288,216,53,01/08/18,01/08/18,1
"Aqaba, Dead Sea, Petra",236,167,125,59,01/08/18,01/08/18,
Azraq,107,76,57,66,01/08/18,01/08/18,
"Irbid (Sedrah, Seven Days Hotel)",171,121,91,54,01/06/17,01/06/17,1
Jerusalem,282,200,150,60,01/06/17,01/12/16,10
Ruwaished,127,90,68,50,01/06/17,01/06/17,
Elsewhere,82,58,44,43,01/06/17,01/06/17,
Kazakhstan (Tenge),,,,,,,
Astana,182,"63,200","47,500",44,01/08/18,01/11/17,
Astana (Ritz Carlton),630,"219,000","164,000",74,01/08/18,01/11/17,1
Astana (Rixos President and Soluxe),263,"91,300","68,400",57,01/08/18,01/11/17,1
Aktau,137,"47,500","35,700",52,01/08/18,01/11/17,
Aktau (Renaissance),289,"100,000","75,300",70,01/08/18,01/11/17,1
Aktobe,128,"44,400","33,300",50,01/08/18,01/11/17,
Almaty,174,"60,400","45,500",45,01/08/18,01/11/17,
Almaty (Ritz Carlton),413,"143,000","108,000",69,01/08/18,01/11/17,1
Atyrau,140,"48,600","36,400",45,01/08/18,01/11/17,
Atyrau (Renaissance),345,"120,000","89,900",70,01/08/18,01/11/17,1
Schuchinsk-Burabay,213,"73,900","55,500",59,01/08/18,01/11/17,
Shymkent,130,"45,100","34,000",54,01/08/18,01/11/17,
Shymkent (Rixos Khadisha),307,"107,000","79,800",73,01/08/18,01/11/17,1
Ust-Kamenogorsk,126,"43,700","33,000",52,01/08/18,01/11/17,
Elsewhere,116,"40,300","30,200",51,01/08/18,01/11/17,
Kenya (Kenyan Shilling),,,,,,,
Nairobi,282,"28,300","21,300",63,01/08/18,01/03/18,
Nairobi (Nairobi Serena),400,"40,200","30,100",68,01/08/18,01/03/18,1
Amboseli (Otukai Lodge),163,"16,400","12,200",87,01/08/18,01/08/18,"1,7"
Kisumu (Acacia Premier),186,"18,700","14,100",66,01/08/18,01/03/18,1
Masai Mara (Fairmount Mara Safari Club),219,"22,000","16,500",87,01/08/18,01/03/18,"1,7"
Masai Mara (Keekorok Lodge),161,"16,200","12,100",87,01/08/18,01/08/18,7
Masai Mara (Sarova Mara Game Camp),183,"18,400","13,800",87,01/08/18,01/03/18,"1,7"
Mombasa,169,"17,000","12,800",65,01/08/18,01/03/18,
Naivasha,190,"19,100","14,400",87,01/08/18,01/03/18,7
Naivasha (Enashipai),224,"22,500","16,900",87,01/08/18,01/03/18,"1,7"
Nakuru (Sarova Lion Hill Lodge),157,"15,800","11,800",87,01/08/18,01/08/18,"1,7"
Nanyuki (Fairmont Mt. Kenya Safari Club),294,"29,500","22,200",87,01/08/18,01/03/18,"1,7"
Nanyuki (Sweetwaters Tented Camp),119,"11,900","8,940",87,01/08/18,01/03/18,"1,7"
Nyeri (The Ark Lodge),164,"16,500","12,300",87,01/08/18,01/08/18,"1,7"
Shaba (Sarova Shaba Lodge),132,"13,300","9,940",87,01/08/18,01/08/18,"1,7"
Elsewhere,95,"9,540","7,130",63,01/08/18,01/08/18,
Kiribati (AUL Dollar),,,,,,,
Christmas Island,119,161,121,71,01/08/18,01/02/18,
All Other Areas,140,189,142,63,01/08/18,01/02/18,
Outer Islands,116,156,117,55,01/08/18,01/02/18,
"Korea, Dem. Peo. of (N. Korean Won)",,,,,,,
Pyongyang,275,"29,100","21,800",64,01/08/18,01/09/17,
Elsewhere,104,"11,000","8,250",59,01/08/18,01/09/17,
"Korea, Republic of (S. Korean Won)",,,,,,,
Seoul,330,"370,000","278,000",60,01/08/18,01/12/17,
Changwon,242,"271,000","203,000",59,01/08/18,01/12/17,
Cheju Island,267,"299,000","224,000",63,01/08/18,01/12/17,
Daejon,181,"203,000","152,000",54,01/08/18,01/12/17,
Gangneung,218,"244,000","183,000",60,01/08/18,01/12/17,
Incheon,206,"231,000","173,000",53,01/08/18,01/12/17,
Kwangju,233,"261,000","196,000",60,01/08/18,01/12/17,
Kyungju,278,"312,000","234,000",61,01/08/18,01/12/17,
Pusan,248,"278,000","209,000",56,01/08/18,01/12/17,
Pyeongchang,267,"299,000","224,000",65,01/08/18,01/12/17,
Taegu,236,"264,000","198,000",63,01/08/18,01/12/17,
Ulsan,229,"256,000","192,000",55,01/08/18,01/12/17,
Yeosu,253,"283,000","212,000",63,01/08/18,01/12/17,
Elsewhere,163,"183,000","137,000",56,01/08/18,01/12/17,
Kuwait (Kuwaiti Dinar),,,,,,,
Kuwait City,413,125,94,65,01/07/18,01/09/17,
Kuwait City (Sheraton Four Points),540,165,124,63,01/07/18,01/09/17,1
Kyrgyzstan (Som),,,,,,,
Bishkek,196,"13,400","10,000",66,01/08/18,01/12/17,
Bishkek (Hyatt Regency),302,"20,600","15,500",78,01/08/18,01/12/17,1
Issyk-kul (1 Jan - 30 Jun),128,"8,730","6,550",67,01/08/18,01/12/17,
Issyk-kul (1 Jul - 15 Sep),213,"14,500","10,900",75,01/08/18,01/12/17,
Issyk-kul (16 Sep - 31 Dec),129,"8,800","6,620",67,01/08/18,01/12/17,
Osh,96,"6,550","4,910",66,01/08/18,01/12/17,
Elsewhere,56,"3,820","2,860",58,01/08/18,01/12/17,
Lao Peo. Dem. Rep. (Kip),,,,,,,
Vientiane,194,"1,636,000","1,231,000",54,01/08/18,01/04/18,
"Vientiane (Crowne Plaza, Settha Palace)",270,"2,276,000","1,712,000",57,01/08/18,01/04/18,1
"Kaysone Phomvihanh, Pakse, Pek, Thakhek",107,"902,000","674,000",52,01/08/18,01/04/18,
Luang Prabang,144,"1,214,000","911,000",54,01/08/18,01/04/18,
Luang Prabang (Avani and Satri House),357,"3,010,000","2,260,000",66,01/08/18,01/04/18,1
"Luang Prabang (Grand Luand Prabang, Le Palais Juliana, Luang Prabang View)",196,"1,653,000","1,239,000",58,01/08/18,01/04/18,1
Luang Prabang (Victoria Xiengthong),253,"2,133,000","1,602,000",65,01/08/18,01/04/18,1
"Vangvieng, Xay",118,"995,000","750,000",53,01/08/18,01/04/18,
Elsewhere,66,"556,000","422,000",44,01/08/18,01/04/18,
Latvia (Euro),,,,,,,
Riga,206,176,132,57,01/08/18,01/10/17,
Jurmala,245,209,157,56,01/08/18,01/10/17,
Elsewhere,146,125,94,49,01/08/18,01/10/17,
Lebanon (Lebanese Pound),,,,,,,
Beirut (Le Royal),460,"695,000","521,000",65,01/08/18,01/04/17,1
Beirut (Movenpick) 1 January - 14 June,314,"474,000","356,000",53,01/08/18,01/02/16,1
Beirut (Movenpick) 15 June - 31 December,377,"569,000","427,000",58,01/08/18,01/02/16,1
Greater Beirut,246,"372,000","279,000",66,01/08/18,01/04/17,
Al Metn,298,"450,000","338,000",59,01/08/18,01/04/17,
Tyr (Tyr Rest House),235,"355,000","266,000",58,01/08/18,01/04/18,1
Elsewhere,147,"222,000","166,000",45,01/08/18,01/04/17,
Lesotho (Loti),,,,,,,
Maseru,103,"1,360","1,020",65,01/08/18,01/05/18,
Maseru (Avani Lesotho Hotel & Casino),243,"3,200","2,400",72,01/08/18,01/05/18,1
Maseru (Avani Maseru Sun),152,"2,000","1,500",63,01/08/18,01/05/18,1
Maseru (Mpilo Boutique Hotel),256,"3,360","2,520",75,01/08/18,01/05/18,1
Butha-Buthe (Afriski Mountain Resort),114,"1,500","1,130",64,01/08/18,01/05/18,1
Butha-Buthe (New Oxbow Lodge),95,"1,250",940,51,01/08/18,01/05/18,1
Leribe,91,"1,200",900,58,01/08/18,01/05/18,
Leribe (Maliba Mountain Lodge),342,"4,500","3,380",67,01/08/18,01/05/18,1
Mohale's Hoek,91,"1,200",900,59,01/08/18,01/05/18,
Qacha's Neck (New Central Guest House),94,"1,230",920,61,01/08/18,01/05/18,1
Teyateyaneng,118,"1,550","1,160",63,01/08/18,01/05/18,
Thaba-Tseka (Motherland Guest House & Orion Katse Lodge),91,"1,200",900,50,01/08/18,01/05/18,1
Elsewhere,82,"1,080",810,52,01/08/18,01/05/18,
Liberia (Liberian Dollar),,,,,,,
Monrovia,303,"45,600","45,600",58,01/08/18,01/01/18,
Robertsfield (Farmington Hotel),240,"36,100","27,100",50,01/08/18,01/01/18,1
Robertsport (Nana Lodge GH),140,"21,000","15,800",71,01/08/18,01/01/18,1
Elsewhere,95,"14,300","14,300",59,01/08/18,01/01/18,
Libya (Libyan Dinar),,,,,,,
Tripoli,216,297,223,65,01/08/18,01/06/15,
"Tripoli (Albustan, Corinthia, Radisson Blu)",335,461,345,71,01/08/18,01/06/15,1
Elsewhere,177,244,183,61,01/08/18,01/06/15,
Lithuania (Euro),,,,,,,
Vilnius,228,195,146,60,01/08/18,01/03/17,
Elsewhere,153,131,98,60,01/08/18,01/03/17,
Luxembourg (Euro),,,,,,,
All Areas,365,312,234,60,01/08/18,01/12/17,
Madagascar (Ariary (New Madagascar Franc)),,,,,,,
Antananarivo,200,"657,000","493,000",66,01/08/18,01/06/17,
Antananarivo (Carlton),469,"1,542,000","1,157,000",79,01/08/18,01/06/17,1
Amboassary,70,"230,000","174,000",56,01/08/18,01/06/17,
Antsirabe,94,"309,000","233,000",64,01/08/18,01/06/17,
Antsiranana (Diego-Suarez),182,"598,000","450,000",64,01/08/18,01/06/17,
Fianarantsoa,81,"266,000","201,000",47,01/08/18,01/06/17,
Mahajanga,102,"335,000","253,000",62,01/08/18,01/06/17,
Morondava,119,"391,000","293,000",64,01/08/18,01/06/17,
Morondava (Palissandre Cote Ouest),208,"684,000","513,000",87,01/08/18,01/06/17,"1,7"
Nosy-Be,261,"858,000","644,000",71,01/08/18,01/06/17,
Ranomafana,87,"286,000","214,000",57,01/08/18,01/06/17,
Sainte Marie,274,"901,000","677,000",77,01/08/18,01/06/17,
Toamasina,134,"441,000","332,000",66,01/08/18,01/06/17,
Tolagnaro (Fort-Dauphin),97,"319,000","240,000",63,01/08/18,01/06/17,
Toliara,107,"352,000","263,000",62,01/08/18,01/06/17,
Elsewhere,63,"207,000","155,000",53,01/08/18,01/06/17,
Malawi (Malawi Kwacha),,,,,,,
Lilongwe,186,"135,000","102,000",65,01/01/18,01/01/18,
Blantyre,150,"109,000","81,900",61,01/01/18,01/01/18,
Blantyre (Mt. Soche & Ryalls),221,"161,000","121,000",69,01/01/18,01/01/18,1
Mangochi (Makokola Retreat),236,"172,000","129,000",70,01/01/18,01/01/18,1
Mangochi (Sunbird Nkopola Lodge),190,"138,000","104,000",66,01/01/18,01/01/18,1
Mzuzu (Hotel Mzuzu),207,"151,000","113,000",68,01/01/18,01/01/18,2
"Salima (Livingstonia Beach, Safari Beach)",221,"161,000","121,000",69,01/01/18,01/01/18,1
Zomba (Ku Chawe Inn),225,"164,000","123,000",69,01/01/18,01/01/18,1
Elsewhere,133,"96,800","72,600",62,01/01/18,01/01/18,
Malaysia (Ringgit),,,,,,,
Kuala Lumpur,217,880,660,52,01/08/18,01/04/17,
Kota Kinabalu (Sabah),172,700,530,60,01/08/18,01/04/17,
Melaka,200,810,610,62,01/08/18,01/04/17,
Penang,170,690,520,61,01/08/18,01/04/17,
Elsewhere,145,590,443,60,01/08/18,01/04/17,
Maldives (Rufiyaa),,,,,,,
Male,236,"3,540","2,660",67,01/06/18,01/06/18,
Male (Hulhule Island Hotel),580,"8,700","6,530",62,01/06/18,01/06/18,1
Male (Jen),295,"4,430","3,320",66,01/06/18,01/06/18,1
Resorts,373,"5,600","4,200",78,01/06/18,01/06/18,"1,45"
Elsewhere,101,"1,520","1,140",60,01/06/18,01/06/18,
Mali (CFA Franc(XOF)),,,,,,,
Bamako,237,"133,000","99,800",44,01/08/18,01/09/17,
