Country,Currency,Location,Breakfast,Lunch,Dinner,Total Meals,Incidental Amount,GRAND TOTAL (taxes included)
Nigeria,Naira (NGN),Other,"4,456.00","5,160.00","7,280.00","16,896.00","5,406.72","22,302.72"
Niue,New Zealand dollar (NZD). Note: One rate for country,Alofi,*,*,*,*,17.50 CAD,*
Northern Ireland – United Kingdom,Pound sterling (GBP),All,14.88,25.08,32.92,72.88,23.32,96.2
Norway,Norwegian krone (NOK),Jatta / Stavanger,223,496,612,"1,331.00",425.92,"1,756.92"
Norway,Norwegian krone (NOK),Oslo,198,416.5,529.5,"1,144.00",366.08,"1,510.08"
Norway,Norwegian krone (NOK),Tromso,183,430.5,530,"1,143.50",365.92,"1,509.42"
Norway,Norwegian krone (NOK),Other,158.4,333.2,423.6,915.2,292.86,"1,208.06"
Oman,Omani rial (OMR),Muscat,9.65,13.45,21.25,44.35,14.19,58.54
Oman,Omani rial (OMR),Other,7.72,10.76,17,35.48,11.35,46.83
Pakistan,Pakistan rupee (PKR),Islamabad,"1,285.00","2,120.00","2,675.00","6,080.00","1,945.60","8,025.60"
Pakistan,Pakistan rupee (PKR),Karachi,*,"2,320.00","2,940.00","5,260.00","2,104.00","7,364.00"
Pakistan,Pakistan rupee (PKR),Lahore,*,"2,230.00","2,885.00","5,115.00","2,046.00","7,161.00"
Pakistan,Pakistan rupee (PKR),Other,"1,028.00","1,696.00","2,140.00","4,864.00","1,556.48","6,420.48"
Palau – Currency: US dollar (USD). Note: One rate For Country,,Koror,*,*,*,*,17.50 CAD,*
Panama – Currency: US dollar (USD),,Panama City,19.15,36.75,47.8,103.7,33.18,136.88
Panama – Currency: US dollar (USD),,Other,15.32,29.4,38.24,82.96,26.55,109.51
Papua New Guinea,Kina (PGK),Port Moresby,62,129,162,353,112.96,465.96
Papua New Guinea,Kina (PGK),Other,49.6,103.2,129.6,282.4,90.37,372.77
Paraguay,Guaraní (PYG),Asunción,*,"98,700.00","136,300.00","235,000.00","94,000.00","329,000.00"
Paraguay,Guaraní (PYG),Other,*,"78,960.00","109,040.00","188,000.00","75,200.00","263,200.00"
Peru,Peruvian Nuevo sol (PEN),Lima,83.5,119,150.5,353,112.96,465.96
Peru,Peruvian Nuevo sol (PEN),Other,66.8,95.2,120.4,282.4,90.37,372.77
Philippines,Philippine peso (PHP),Manila,950,"1,370.00","1,925.00","4,245.00","1,358.40","5,603.40"
Philippines,Philippine peso (PHP),Other,760,"1,096.00","1,540.00","3,396.00","1,086.72","4,482.72"
Pitcairn Islands,New Zealand dollar (NZD). Note: One rate for country,Adamstown,*,*,*,*,17.50 CAD,*
Poland,Zloty (PLN),Warsaw,67.5,107,144,318.5,101.92,420.42
Poland,Zloty (PLN),Other,54,85.6,115.2,254.8,81.54,336.34
Portugal,Euro (EUR),Lisbon,22.55,36.5,50.15,109.2,34.94,144.14
Portugal,Euro (EUR),Other,18.04,29.2,40.12,87.36,27.96,115.32
Qatar,Qatari rial (QAR). Note: One rate for country,Doha,142,179.5,259.5,581,185.92,766.92
Réunion,Euro (EUR). Note: One rate for country,Saint-Denis,*,*,*,*,17.50 CAD,*
Romania,Euro (EUR),Bucharest,17.1,23.95,37.1,78.15,25.01,103.16
Romania,Euro (EUR),Other,13.68,19.16,29.68,62.52,20.01,82.53
Russia,Russian rouble (RUB),Moscow,"1,785.00","2,315.00","3,100.00","7,200.00","2,304.00","9,504.00"
Russia,Russian rouble (RUB),St. Petersburg,"1,910.00","2,110.00","2,770.00","6,790.00","2,172.80","8,962.80"
Russia,Russian rouble (RUB),Other,"1,428.00","1,852.00","2,480.00","5,760.00","1,843.20","7,603.20"
Rwanda,Rwanda franc (RWF),Kigali,"14,600.00","17,220.00","21,000.00","52,820.00","16,902.40","69,722.40"
Rwanda,Rwanda franc (RWF),Other,"11,680.00","13,776.00","16,800.00","42,256.00","13,521.92","55,777.92"
Saint Helena,Saint Helena pound (SHP). Note: One rate for country,Jamestown,*,*,*,*,17.50 CAD,*
Saint Kitts and Nevis – Currency: US dollar (USD). Note: One rate for country,,Basseterre,20.6,42.8,55.6,119,38.08,157.08
Saint Lucia,East Caribbean dollar (XCD). Note: One rate for country,Castries,70,140.5,199,409.5,131.04,540.54
Saint Martin,Euro (EUR). Note: One rate for country,Marigot,*,*,*,*,17.50 CAD,*
Saint-Pierre-et-Miquelon,Euro (EUR). Note: One rate for country,Saint-Pierre,*,*,*,*,17.50 CAD,*
Saint-Vincent and the Grenadines,East Caribbean dollar (XCD) Note: One rate for country,Kingstown,36.55,79.5,118.65,234.7,75.1,309.8
Samoa,Tala (WST). Note: One rate for country,Apia,43.9,95.1,123.45,262.45,83.98,346.43
San Marino,Euro (EUR). Note: One rate for country,San Marino,*,*,*,*,17.50 CAD,*
Sao Tomé and Principe – Currency: US dollar (USD). Note: One rate for country,,Sao Tomé,19.75,30.15,39.1,89,28.48,117.48
Saudi Arabia,Saudi riyal (SAR),Jeddah,80.5,120.5,180,381,121.92,502.92
Saudi Arabia,Saudi riyal (SAR),Riyadh,135,152,205,492,157.44,649.44
Saudi Arabia,Saudi riyal (SAR),Other,108,121.6,164,393.6,125.95,519.55
Senegal – Currency: CFA franc BCEAO (XOF),,Dakar,"8,700.00","14,550.00","21,400.00","44,650.00","14,288.00","58,938.00"
Senegal – Currency: CFA franc BCEAO (XOF),,Other,"6,960.00","11,640.00","17,120.00","35,720.00","11,430.40","47,150.40"
Serbia,Euro (EUR),Belgrade,7.9,14.9,21.3,44.1,14.11,58.21
Serbia,Euro (EUR),Other,6.32,11.92,17.04,35.28,11.29,46.57
Seychelles,Seychelles rupee (SCR). Note: One rate for country,Victoria,575,730,880,"2,185.00",699.2,"2,884.20"
Sierra Leone,Leone (SLL),Freetown,"82,000.00","184,000.00","215,000.00","481,000.00","153,920.00","634,920.00"
Sierra Leone,Leone (SLL),Other,"65,600.00","147,200.00","172,000.00","384,800.00","123,136.00","507,936.00"
Singapore,Singapore dollar (SGD). Note: One rate for country,Singapore,39.6,61.8,82.9,184.3,58.98,243.28
Sint Maarten,Netherlands Antilles Guilder (ANG). Note: One rate for country,Phillipsburg,32.2,65.3,95.2,192.7,61.66,254.36
Slovakia,Euro (EUR),Bratislava,19.3,25.5,37.65,82.45,26.38,108.83
Slovakia,Euro (EUR),Other,15.44,20.4,30.12,65.96,21.11,87.07
Slovenia,Euro (EUR),Ljubljana,15.75,25.7,36.8,78.25,25.04,103.29
Slovenia,Euro (EUR),Other,12.6,20.56,29.44,62.6,20.03,82.63
Solomon Islands,Solomon Islands dollar (SBD). Note: One rate for country,Honiara,163.5,295.5,374,833,266.56,"1,099.56"
Somalia,Somali shilling (SOS). Note: One rate for country,Mogadiscio,*,*,*,*,17.50 CAD,*
South Africa,Rand (ZAR),Cape Town,166,271.5,368.5,806,257.92,"1,063.92"
South Africa,Rand (ZAR),Durban,174.5,316,426.5,917,293.44,"1,210.44"
South Africa,Rand (ZAR),Johannesburg,196,309.5,410,915.5,292.96,"1,208.46"
South Africa,Rand (ZAR),Pretoria,139,205,264.5,608.5,194.72,803.22
South Africa,Rand (ZAR),Other,111.2,164,211.6,486.8,155.78,642.58
South Sudan,Canadian dollar (CAD),Juba,11.35,24.6,30.95,66.9,21.41,88.31
South Sudan,Canadian dollar (CAD),Other,9.08,19.68,24.76,53.52,17.13,70.65
Spain,Euro (EUR),Barcelona,17.75,35.6,47.55,100.9,32.29,133.19
Spain,Euro (EUR),Madrid,22.45,35.4,51,108.85,34.83,143.68
Spain,Euro (EUR),Other,17.96,28.32,40.8,87.08,27.87,114.95
Sri Lanka,Sri Lanka rupee (LKR),Colombo,"2,490.00","2,920.00","4,230.00","9,640.00","3,084.80","12,724.80"
Sri Lanka,Sri Lanka rupee (LKR),Other,"1,992.00","2,336.00","3,384.00","7,712.00","2,467.84","10,179.84"
Sudan,Canadian dollar (CAD),Khartoum,41.85,57.1,70.8,169.75,54.32,224.07
Sudan,Canadian dollar (CAD),Other,33.48,45.68,56.64,135.8,43.46,179.26
Suriname,Canadian dollar (CAD). Note: One rate for country,Paramaribo,*,38.05,54.6,92.65,37.06,129.71
Swaziland,Rand (ZAR). Note: One rate for country,Mbabane,204.5,252,321.5,778,248.96,"1,026.96"
Sweden,Swedish krona (SEK),Stockholm,267,484.5,603.5,"1,355.00",433.6,"1,788.60"
Sweden,Swedish krona (SEK),Other,213.6,387.6,482.8,"1,084.00",346.88,"1,430.88"
Switzerland,Swiss franc (CHF),Bern,24.65,49.1,66,139.75,44.72,184.47
Switzerland,Swiss franc (CHF),Davos,22.2,47.1,66.95,136.25,43.6,179.85
Switzerland,Swiss franc (CHF),Geneva,37.6,51,68.75,157.35,50.35,207.7
Switzerland,Swiss franc (CHF),Zurich,27.1,56.05,75.2,158.35,50.67,209.02
Switzerland,Swiss franc (CHF),Other,19.72,39.28,52.8,111.8,35.78,147.58
Syria,Syrian pound (SYP),Damascus,*,*,*,*,17.5,17.5
Syria,Syrian pound (SYP),Other,*,*,*,*,17.5,17.5
Taiwan,New Taiwan dollar (TWD). Note: One rate for country,Taipei,740,"1,175.00","1,840.00","3,755.00","1,201.60","4,956.60"
Tajikistan – Currency: US dollar (USD). Note: One rate for country,,Dushanbe,18.5,17.8,24.25,60.55,19.38,79.93
Tanzania,Canadian dollar (CAD),Dar es Salaam,22.65,33.1,43.3,99.05,31.7,130.75
Tanzania,Canadian dollar (CAD),Other,18.12,26.48,34.64,79.24,25.36,104.6
Thailand,Baht (THB),Bangkok,674,927,"1,435.00","3,036.00",971.52,"4,007.52"
Thailand,Baht (THB),Other,539.2,741.6,"1,148.00","2,428.80",777.22,"3,206.02"
Timor-Leste (formerly East Timor) – Currency: US dollar (USD). Note: One rate for country,,Dili,16.65,23.75,30.05,70.45,22.54,92.99
Togo – Currency: CFA franc BCEAO (XOF),,Lomé,"8,000.00","14,100.00","18,400.00","40,500.00","12,960.00","53,460.00"
Togo – Currency: CFA franc BCEAO (XOF),,Other,"6,400.00","11,280.00","14,720.00","32,400.00","10,368.00","42,768.00"
Tokelau,New Zealand dollar (NZD). Note: One rate for country,Tokelau,*,*,*,*,17.50 CAD,*
Tonga,Pa'anga (TOP). Note: One rate for country,Nuku'alofa,31.6,60.2,82.75,174.55,55.86,230.41
Trinidad and Tobago,Trinidad and Tobago dollar (TTD),Port of Spain,162.5,239,366,767.5,245.6,"1,013.10"
Trinidad and Tobago,Trinidad and Tobago dollar (TTD),Tobago,146,221,358.5,725.5,232.16,957.66
Tunisia,Tunisian dinar (TND),Tunis,33.85,52.8,68.8,155.45,49.74,205.19
Tunisia,Tunisian dinar (TND),Other,27.08,42.24,55.04,124.36,39.8,164.16
Turkey,Euro (EUR),Ankara,13.75,19.75,28.1,61.6,19.71,81.31
Turkey,Euro (EUR),Istanbul,27.4,27.8,34.95,90.15,28.85,119
Turkey,Euro (EUR),Other,11,15.8,22.48,49.28,15.77,65.05
Turkmenistan,New Manat (TMT). Note: One rate for country,Ashgabat,33.75,50,66.75,150.5,48.16,198.66
Grand Turk:,,Cockburn Town,20.45,39.95,53.75,114.15,36.53,150.68
Providenciales:,,Provo,22,43.3,63.5,128.8,41.22,170.02
Tuvalu,Australian dollar (AUD). Note: One rate for country,Funafuti,*,*,*,*,17.50 CAD,*
Uganda,Uganda shilling (UGX),Kampala,"50,100.00","66,900.00","79,600.00","196,600.00","62,912.00","259,512.00"
Uganda,Uganda shilling (UGX),Other,"40,080.00","53,520.00","63,680.00","157,280.00","50,329.60","207,609.60"
Ukraine,Hryvnia (UAH),Kyiv,549,575,796,"1,920.00",614.4,"2,534.40"
Ukraine,Hryvnia (UAH),Other,439.2,460,636.8,"1,536.00",491.52,"2,027.52"
United Arab Emirates,United Arab Emirates dirham (AED),Abu Dhabi,115,175,246,536,171.52,707.52
United Arab Emirates,United Arab Emirates dirham (AED),Dubai,87,171,229,487,155.84,642.84
United Arab Emirates,United Arab Emirates dirham (AED),Other,92,140,196.8,428.8,137.22,566.02
United Kingdom (includes Northern Ireland),Pound sterling (GBP),London,18.6,31.35,41.15,91.1,29.15,120.25
United Kingdom (includes Northern Ireland),Pound sterling (GBP),Other,14.88,25.08,32.92,72.88,23.32,96.2
"United States of America (Outside the Continental USA only: Guam, Hawaii, Northern Marianas, Puerto Rico and Virgin Islands) - Currency: USdollar (USD)",,Outside Continental USA,19.45,19.2,48.15,86.8,17.5,104.3
Uruguay,Canadian dollar (CAD),Montevideo,*,61.25,78,139.25,55.7,194.95
Uruguay,Canadian dollar (CAD),Other,*,49,62.4,111.4,44.56,155.96
Uzbekistan – Currency: US dollar (USD). Note: One rate for country,,Tashkent,18.85,22.55,35,76.4,24.45,100.85
Vanuatu,Vatu (VUV),Port Vila,"2,320.00","3,930.00","5,240.00","11,490.00","3,676.80","15,166.80"
Vanuatu,Vatu (VUV),Other,"1,856.00","3,144.00","4,192.00","9,192.00","2,941.44","12,133.44"
Venezuela,Canadian Dollar (CAD),Caracas,20.7,29.1,35.5,85.3,27.3,112.6
Venezuela,Canadian Dollar (CAD),Other,16.56,23.28,28.4,68.24,21.84,90.08
Vietnam,Vietnamese Dong (VND),Hanoi,"437,000.00","732,000.00","920,000.00","2,089,000.00","668,480.00","2,757,480.00"
Vietnam,Vietnamese Dong (VND),Ho Chi Minh City,"383,000.00","692,000.00","867,000.00","1,942,000.00","621,440.00","2,563,440.00"
Vietnam,Vietnamese Dong (VND),Other,"349,600.00","585,600.00","736,000.00","1,671,200.00","534,784.00","2,205,984.00"
Virgin Islands (British) – Currency: US dollar (USD). Note: One rate for country,,Road Town,18.3,33.35,50.35,102,32.64,134.64
Yemen – Currency: US dollar (USD),,Aden,10,20.9,20.9,51.8,16.58,68.38
Yemen – Currency: US dollar (USD),,Sana'a,13.65,21.8,24.05,59.5,19.04,78.54
Yemen – Currency: US dollar (USD),,Other,10.92,17.44,19.24,47.6,15.23,62.83
Zambia – Currency: US dollar (USD),,Lusaka,18.85,25.95,30.7,75.5,24.16,99.66
Zambia – Currency: US dollar (USD),,Other,15.08,20.76,24.56,60.4,19.33,79.73
Zimbabwe – Currency: US dollar (USD),,Harare,19.9,28.1,34.75,82.75,26.48,109.23
Zimbabwe – Currency: US dollar (USD),,Other,15.92,22.48,27.8,66.2,21.18,87.38
